completed_t2_flag,male,non_binary,single_t1,age_z,tenure_score_t1_z,total_approvals_t1_log_z,anthropomorphism_score_t1_z,intensity_avg_t1_z,companionship_use_t1_z,relational_t1_z,self_disclosure_select_avg_t1_z,chatbot_use_social_primary_flag_t1,well_being_avg_t1_z,intensity_avg_t2_z,companionship_use_t2_z,relational_t2_z,self_disclosure_select_avg_t2_z,well_being_avg_t2_z,time_inperson_z
1,1,0,0,2.2139091463277794,-1.822673328920161,2.74728460673751,0.4892342033452379,0.5259478421487062,-0.3555829950036889,-1.0080559469640418,0.4098358306073453,0,0.9149217309700568,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,0.1865149443081559,-1.3468274400216007
0,0,0,1,-0.6729503572538184,-1.822673328920161,1.058002284868427,0.4892342033452379,-0.7606935560387004,-0.3555829950036889,-1.0080559469640418,-1.408414748256493,0,-1.975131461898508,,,,,,
1,1,0,0,0.3514191440170712,0.9038525351878244,1.094329322843126,-0.7471655762935278,-0.360092428801595,-0.3555829950036889,0.9911705877184126,0.4098358306073453,0,-1.4725135157715823,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,-1.1131685553355453,-0.1289958310216364
1,0,1,1,-0.3004523567916767,0.9038525351878244,1.1893552120301898,-1.3653654661129109,-1.7646047756467091,-0.3555829950036889,-1.0080559469640418,-2.0902587152452017,0,-0.9698955688907304,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,0.7772801709677991,1.088835777978328
1,1,0,1,-0.3004523567916767,-0.4594103968661684,1.5313006318059887,0.4892342033452379,0.1120076744491449,2.809907727435166,0.9911705877184126,-0.2720081363813634,1,0.0353403241170469,1.066590666657933,0.5308899865533903,1.010302471565581,0.1123247531438611,0.1865149443081559,-1.3468274400216007
1,1,0,0,0.1651701437860003,-0.4594103968661684,0.6908258343601887,-0.7471655762935278,-0.8390936751975335,-0.3555829950036889,-1.0080559469640418,-1.408414748256493,0,-0.4672776220098779,1.0509203500427482,-0.3291126115902937,-0.9875479113951852,0.2417488124193217,0.1865149443081559,-0.7379116355216186
1,1,0,0,-0.3004523567916767,0.9038525351878244,1.335615699046422,-0.7471655762935278,0.4377330519850849,-0.3555829950036889,0.9911705877184126,0.4098358306073453,0,-1.598168001926351,0.3851568458336671,1.390892584697074,1.010302471565581,-0.5347955440099867,0.5409740804457256,-0.7379116355216186
1,0,0,1,-0.1142033565606058,-0.4594103968661684,2.076029087555158,0.4892342033452379,-0.3092379437863335,-0.3555829950036889,-1.0080559469640418,1.3189611196983422,0,0.0353403241170469,0.3155294642876387,-0.3291126115902937,1.010302471565581,1.0182931688486303,-0.1679441918294137,1.088835777978328
1,0,0,1,0.3514191440170712,-0.4594103968661684,2.497146618162087,-1.3653654661129109,0.1785344873122343,-0.3555829950036889,-1.0080559469640418,-1.6356960703587813,0,1.1662307040335194,1.249007956978774,0.5308899865533903,1.010302471565581,0.7594450502977093,0.0683618986926597,-0.1289958310216364
1,1,0,0,-0.7660748573693538,0.9038525351878244,1.092020079695389,-0.7471655762935278,0.6373059469400445,-0.3555829950036889,0.9911705877184126,-0.2720081363813634,0,0.4123037840892044,-1.4171016880388407,-1.1891152097339777,-0.9875479113951852,-1.440763959714756,1.249892352720865,-0.1289958310216364
